"Trust Code","Trust Name","efficiency_vrs","efficiency_vrs_weighted","impact_of_weighting"
"R1L","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",1,1,0
"RGM","ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST",1,1,0
"RAN","ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST",1,1,0
"RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST",1,1,0
"RWK","EAST LONDON NHS FOUNDATION TRUST",1,1,0
"RL1","ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST",1,1,0
"RLQ","WYE VALLEY NHS TRUST",1,1,0
"RT5","LEICESTERSHIRE PARTNERSHIP NHS TRUST",1,1,0
"RXM","DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST",1,1,0
"RXT","BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST",1,1,0
"RY5","LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST",1,1,0
"RYA","WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST",1,1,0
"RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST",1,1,0
"RTD","THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",1,1,0
"RTR","SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",1,1,0
"RX4","CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",1,1,0
"RX6","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST",1,1,0
"RY6","LEEDS COMMUNITY HEALTHCARE NHS TRUST",1,1,0
"TAD","BRADFORD DISTRICT CARE NHS FOUNDATION TRUST",1,1,0
"RBL","WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",1,1,0
"RET","WALTON CENTRE NHS FOUNDATION TRUST",1,1,0
"RT2","PENNINE CARE NHS FOUNDATION TRUST",1,1,0
"RXR","EAST LANCASHIRE HOSPITALS NHS TRUST",1,1,0
"RY7","WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST",1,1,0
"RPC","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST",1,1,0
"RA9","TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1,1,0
"RNZ","SALISBURY NHS FOUNDATION TRUST",1,1,0
"RRU","LONDON AMBULANCE SERVICE NHS TRUST",0.95439412630228,0.95439412630228,0
"RXQ","BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",0.940609490103431,0.940609490103431,0
"RX9","EAST MIDLANDS AMBULANCE SERVICE NHS TRUST",0.909333795812355,0.909333795812355,0
"RP6","MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST",0.759345005043566,0.759345005043566,0
"RAT","NORTH EAST LONDON NHS FOUNDATION TRUST",0.740034078112289,0.740034078112289,0
"RBD","DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",0.729632789527092,0.729632789527092,0
"R1D","SHROPSHIRE COMMUNITY HEALTH NHS TRUST",0.714244714885421,0.714244714885421,0
"RXY","KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST",0.703236163783659,0.703236163783659,0
"RMY","NORFOLK AND SUFFOLK NHS FOUNDATION TRUST",0.688859611658299,0.688859611658299,0
