"Trust Code","Trust Name","efficiency_vrs","efficiency_category","recommendation"
"RX1","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",0.00364424689650741,"Low efficiency","Significant resource reallocation required"
"RTH","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.00607932366934974,"Low efficiency","Significant resource reallocation required"
"RWE","UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",0.0086679559664646,"Low efficiency","Significant resource reallocation required"
"RHM","UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",0.00915075344723445,"Low efficiency","Significant resource reallocation required"
"RR8","LEEDS TEACHING HOSPITALS NHS TRUST",0.00918730481310448,"Low efficiency","Significant resource reallocation required"
"RXK","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",0.0110429278558026,"Low efficiency","Significant resource reallocation required"
"RRK","UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",0.0110603771004337,"Low efficiency","Significant resource reallocation required"
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",0.0110749801277739,"Low efficiency","Significant resource reallocation required"
"R0D","UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",0.0119390275142016,"Low efficiency","Significant resource reallocation required"
"RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST",0.012287753260918,"Low efficiency","Significant resource reallocation required"
"RJ1","GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",0.0123266656875183,"Low efficiency","Significant resource reallocation required"
"RQM","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.0124663026558188,"Low efficiency","Significant resource reallocation required"
"RHU","PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST",0.0127434301203766,"Low efficiency","Significant resource reallocation required"
"RH5","SOMERSET NHS FOUNDATION TRUST",0.0136578119142038,"Low efficiency","Significant resource reallocation required"
"RVW","NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",0.0143490623164648,"Low efficiency","Significant resource reallocation required"
"RTF","NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",0.0143769472653786,"Low efficiency","Significant resource reallocation required"
"RJE","UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",0.0147186688577453,"Low efficiency","Significant resource reallocation required"
"RW4","MERSEY CARE NHS FOUNDATION TRUST",0.0151988293756535,"Low efficiency","Significant resource reallocation required"
"RJZ","KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",0.0156876870467214,"Low efficiency","Significant resource reallocation required"
"RYR","UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",0.0162853620195113,"Low efficiency","Significant resource reallocation required"
"RJ6","CROYDON HEALTH SERVICES NHS TRUST",0.0162882657495258,"Low efficiency","Significant resource reallocation required"
"RM3","NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",0.0166093770855495,"Low efficiency","Significant resource reallocation required"
"RGT","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.0166844608633137,"Low efficiency","Significant resource reallocation required"
"RGN","NORTH WEST ANGLIA NHS FOUNDATION TRUST",0.0168933216480894,"Low efficiency","Significant resource reallocation required"
"RJ7","ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.0183223478032927,"Low efficiency","Significant resource reallocation required"
"RN7","DARTFORD AND GRAVESHAM NHS TRUST",0.0184606558069488,"Low efficiency","Significant resource reallocation required"
"RHW","ROYAL BERKSHIRE NHS FOUNDATION TRUST",0.0199499155301989,"Low efficiency","Significant resource reallocation required"
"R0A","MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",0.0204960853473398,"Low efficiency","Significant resource reallocation required"
"RWJ","STOCKPORT NHS FOUNDATION TRUST",0.0215064767166654,"Low efficiency","Significant resource reallocation required"
"RXV","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST",0.022548034946402,"Low efficiency","Significant resource reallocation required"
"RWD","UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",0.0225935281162983,"Low efficiency","Significant resource reallocation required"
"RAE","BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0238928625418044,"Low efficiency","Significant resource reallocation required"
"RNS","NORTHAMPTON GENERAL HOSPITAL NHS TRUST",0.0242295176064215,"Low efficiency","Significant resource reallocation required"
"RQX","HOMERTON HEALTHCARE NHS FOUNDATION TRUST",0.0244699178078028,"Low efficiency","Significant resource reallocation required"
"RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",0.0253093832442617,"Low efficiency","Significant resource reallocation required"
"RQ3","BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST",0.0255176089105108,"Low efficiency","Significant resource reallocation required"
"RAX","KINGSTON HOSPITAL NHS FOUNDATION TRUST",0.0263723643404598,"Low efficiency","Significant resource reallocation required"
"RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",0.0269048688226354,"Low efficiency","Significant resource reallocation required"
"R1K","LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",0.0282018984628876,"Low efficiency","Significant resource reallocation required"
"RK5","SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",0.028504572110431,"Low efficiency","Significant resource reallocation required"
"RAJ","MID AND SOUTH ESSEX NHS FOUNDATION TRUST",0.0302585431964268,"Low efficiency","Significant resource reallocation required"
"RCD","HARROGATE AND DISTRICT NHS FOUNDATION TRUST",0.0323072269230126,"Low efficiency","Significant resource reallocation required"
"RRF","WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",0.0323228733380987,"Low efficiency","Significant resource reallocation required"
"RV5","SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST",0.0338522764395018,"Low efficiency","Significant resource reallocation required"
"RJ8","CORNWALL PARTNERSHIP NHS FOUNDATION TRUST",0.0354666077324012,"Low efficiency","Significant resource reallocation required"
"RR7","GATESHEAD HEALTH NHS FOUNDATION TRUST",0.0358374455332701,"Low efficiency","Significant resource reallocation required"
"TAF","CAMDEN AND ISLINGTON NHS FOUNDATION TRUST",0.0358882405222594,"Low efficiency","Significant resource reallocation required"
"RKL","WEST LONDON NHS TRUST",0.0365349653716574,"Low efficiency","Significant resource reallocation required"
"RWA","HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",0.0366925963302727,"Low efficiency","Significant resource reallocation required"
"RH8","ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",0.0368549155532934,"Low efficiency","Significant resource reallocation required"
"RF4","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.0373921579501431,"Low efficiency","Significant resource reallocation required"
"RAL","ROYAL FREE LONDON NHS FOUNDATION TRUST",0.0383272229746172,"Low efficiency","Significant resource reallocation required"
"RA2","ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",0.0387142254367703,"Low efficiency","Significant resource reallocation required"
"RVV","EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",0.0388091166519818,"Low efficiency","Significant resource reallocation required"
"RXF","MID YORKSHIRE TEACHING NHS TRUST",0.0389067979033918,"Low efficiency","Significant resource reallocation required"
"RHA","NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.0395954774151598,"Low efficiency","Significant resource reallocation required"
"RN5","HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",0.0402360045699326,"Low efficiency","Significant resource reallocation required"
"RTX","UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",0.044370733306832,"Low efficiency","Significant resource reallocation required"
"RCB","YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0445804259650206,"Low efficiency","Significant resource reallocation required"
"RD1","ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",0.0458171113589634,"Low efficiency","Significant resource reallocation required"
"RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST",0.0461718239835998,"Low efficiency","Significant resource reallocation required"
"RXL","BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0463590925586853,"Low efficiency","Significant resource reallocation required"
"RWR","HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST",0.046663024414057,"Low efficiency","Significant resource reallocation required"
"RNU","OXFORD HEALTH NHS FOUNDATION TRUST",0.0483356881156047,"Low efficiency","Significant resource reallocation required"
"RWG","WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",0.0490257863271904,"Low efficiency","Significant resource reallocation required"
"RVR","EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",0.0492148361490844,"Low efficiency","Significant resource reallocation required"
"RBN","MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST",0.049269097816865,"Low efficiency","Significant resource reallocation required"
"R1A","HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST",0.0492746042835825,"Low efficiency","Significant resource reallocation required"
"RXX","SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST",0.0494002163758455,"Low efficiency","Significant resource reallocation required"
"RTK","ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST",0.0499448150959938,"Low efficiency","Significant resource reallocation required"
"RFF","BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0.0500780347068329,"Low efficiency","Significant resource reallocation required"
"RW1","SOUTHERN HEALTH NHS FOUNDATION TRUST",0.0522313959055719,"Low efficiency","Significant resource reallocation required"
"RBT","THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",0.0523563131603591,"Low efficiency","Significant resource reallocation required"
"RP4","GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST",0.0535640327811904,"Low efficiency","Significant resource reallocation required"
"R0B","SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",0.0541344290832153,"Low efficiency","Significant resource reallocation required"
"RJC","SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST",0.0541947655360034,"Low efficiency","Significant resource reallocation required"
"RPA","MEDWAY NHS FOUNDATION TRUST",0.0545506765279302,"Low efficiency","Significant resource reallocation required"
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST",0.0557163445058853,"Low efficiency","Significant resource reallocation required"
"RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",0.0586411591064941,"Low efficiency","Significant resource reallocation required"
"RXC","EAST SUSSEX HEALTHCARE NHS TRUST",0.0592171469537196,"Low efficiency","Significant resource reallocation required"
"RL4","THE ROYAL WOLVERHAMPTON NHS TRUST",0.0592341791474696,"Low efficiency","Significant resource reallocation required"
"RWV","DEVON PARTNERSHIP NHS TRUST",0.0616471993975718,"Low efficiency","Significant resource reallocation required"
"RW5","LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST",0.0618434046791654,"Low efficiency","Significant resource reallocation required"
"RCX","THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST",0.0663408237361824,"Low efficiency","Significant resource reallocation required"
"RBK","WALSALL HEALTHCARE NHS TRUST",0.0671028358142681,"Low efficiency","Significant resource reallocation required"
"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",0.0682248909641263,"Low efficiency","Significant resource reallocation required"
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",0.0715952315919257,"Low efficiency","Significant resource reallocation required"
