"Trust","Efficiency","ProfitLoss","ScaleEfficiency","WeightedScore"
"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1,0.957305097660738,0.999999999989881,0.987191529296198
"QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST",1,0.940496484965971,0.999999999989881,0.982148945487768
"WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST",1,0.93068572720165,0.999999999989881,0.979205718158471
"PENNINE CARE NHS FOUNDATION TRUST",1,0.921579002211303,0.999999999989881,0.976473700661367
"WALTON CENTRE NHS FOUNDATION TRUST",1,0.912866592684925,0.999999999989881,0.973859977803454
"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",1,0.902026183592992,0.999999999989881,0.970607855075874
"BRADFORD DISTRICT CARE NHS FOUNDATION TRUST",1,0.895693268510169,0.999999999989881,0.968707980551027
"NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST",1,0.887669559092566,0.999999999989881,0.966300867725746
"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",1,0.874861622222764,0.999999999989881,0.962458486664806
"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",1,0.867254011140827,0.999999999989881,0.960176203340224
"WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST",1,0.832301738309803,0.999999999989881,0.949690521490917
"LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST",1,0.828172740649023,0.999999999989881,0.948451822192683
"BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST",1,0.82643859536715,0.999999999989881,0.947931578608121
"DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST",1,0.824421418056608,0.999999999989881,0.947326425414959
"WYE VALLEY NHS TRUST",1,0.79951797309924,0.999999999989881,0.939855391927748
"ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST",1,0.79706489828833,0.999999999989881,0.939119469484475
"TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST",1,0.739549588334681,0.999999999989881,0.921864876498381
"ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST",1,0.685345856092317,0.999999999989881,0.905603756825671
"LONDON AMBULANCE SERVICE NHS TRUST",0.954227319352887,0.752892020523458,0.999999999998354,0.902981265833152
"EAST MIDLANDS AMBULANCE SERVICE NHS TRUST",0.909002177279316,0.82249228195835,0.995894190381224,0.900427611303408
"EAST LANCASHIRE HOSPITALS NHS TRUST",1,0.928040289670245,0.409239824353915,0.860260051771857
"ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST",1,0.529361043049815,0.999999999989881,0.858808312912921
"SALISBURY NHS FOUNDATION TRUST",1,0.962985366825265,0.31203646153556,0.851302902354691
"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",1,0.887267864743984,0.360180326476883,0.838216424718572
"KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST",0.702150727496712,0.953476972756488,0.899632443682926,0.817044944311887
"LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST",1,0.85892450760444,0.2884893389895,0.815375220079232
"LEEDS COMMUNITY HEALTHCARE NHS TRUST",1,0.895284182641899,0.224694307339071,0.813524116260384
"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",0.625166771892614,0.962042240500769,0.999265772010105,0.801049212498559
"SHROPSHIRE COMMUNITY HEALTH NHS TRUST",0.71319954321085,0.78032051600439,0.999999999998327,0.790695926406407
