"Trust Code","Trust Name","efficiency_vrs","efficiency_crs","scale_efficiency","total_revenue","total_investment","net_profit_loss"
"RX1","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",0.00364424689650741,0.00270626508535023,0.742612990339342,7692730,160719081,-153026351
"RC9","BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",0.0110749801277739,0.0077447573517086,0.699302144324957,8499923,98400316,-89900393
"R1H","BARTS HEALTH NHS TRUST",0.103558718191419,0.102655740986169,0.99128052933621,13849612,97622000,-83772388
"R0D","UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",0.0119390275142016,0.00736444172334319,0.61683765403699,9254656,89147699,-79893043
"R1K","LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",0.0282018984628876,0.0257595669555067,0.913398329882123,4807303,78097015,-73289712
"RXV","GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST",0.022548034946402,0.0211619375677231,0.938526910128811,1392471,74139181,-72746710
"RYJ","IMPERIAL COLLEGE HEALTHCARE NHS TRUST",0.012287753260918,0.00828852018691234,0.674535044032378,7511646,76745699,-69234053
"RTH","OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.00607932366934974,0.00369686281839877,0.608104292429325,11080198,80038000,-68957802
"RK9","UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",0.0253093832442617,0.0221761885261441,0.87620422481737,4493233,73155402,-68662169
"RXK","SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",0.0110429278558026,0.0104970508751921,0.950567730973296,1037661,66543968,-65506307
"RXW","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",0.142085596957416,0.141531729555511,0.996101875110741,2288914,63403225,-61114311
"RDE","EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",0.0269048688226354,0.0185563294552736,0.689701539806875,9436646,68819135,-59382489
"RN7","DARTFORD AND GRAVESHAM NHS TRUST",0.0184606558069488,0.0183994604477681,0.996685092890489,214529,58937000,-58722471
"RM3","NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",0.0166093770855495,0.0137033885982183,0.825039285196343,5398669,62825960,-57427291
"RBT","THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",0.0523563131603591,0.0501967502260169,0.958752578170894,2603512,59193000,-56589488
"RHU","PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST",0.0127434301203766,0.0108831948222379,0.854023973093067,5516582,61005000,-55488418
"RCX","THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST",0.0663408237361824,0.0656067442899102,0.988934725182318,2375849,56503665,-54127816
"RP5","DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",0.333046602938112,0.331865960601549,0.996455023632886,3307689,56897063,-53589374
